Component,Origin,License
core,"github.com/spf13/cobra",Apache-2.0
core,"github.com/spf13/jwalterweatherman",MIT
core,"github.com/spf13/pflag",BSD-3-Clause
core,"github.com/spf13/viper",MIT
core,"github.com/subosito/gotenv",MIT
core,"golang.org/x/crypto/ed25519",BSD-3-Clause
core,"golang.org/x/crypto/ed25519/internal/edwards25519",BSD-3-Clause
core,"golang.org/x/crypto/pbkdf2",BSD-3-Clause
core,"golang.org/x/crypto/ssh/terminal",BSD-3-Clause
core,"golang.org/x/net/bpf",BSD-3-Clause
core,"golang.org/x/net/context",BSD-3-Clause
core,"golang.org/x/net/context/ctxhttp",BSD-3-Clause
core,"golang.org/x/net/http/httpguts",BSD-3-Clause
core,"golang.org/x/net/http2",BSD-3-Clause
core,"golang.org/x/net/http2/hpack",BSD-3-Clause
core,"golang.org/x/net/idna",BSD-3-Clause
core,"golang.org/x/net/internal/iana",BSD-3-Clause
core,"golang.org/x/net/internal/socket",BSD-3-Clause
core,"golang.org/x/net/internal/socks",BSD-3-Clause
core,"golang.org/x/net/ipv4",BSD-3-Clause
core,"golang.org/x/net/ipv6",BSD-3-Clause
core,"golang.org/x/net/proxy",BSD-3-Clause
core,"golang.org/x/oauth2",BSD-3-Clause
core,"golang.org/x/oauth2/internal",BSD-3-Clause
core,"golang.org/x/sys/unix",BSD-3-Clause
core,"golang.org/x/sys/windows",BSD-3-Clause
core,"golang.org/x/text/secure/bidirule",BSD-3-Clause
core,"golang.org/x/text/transform",BSD-3-Clause
core,"golang.org/x/text/unicode/bidi",BSD-3-Clause
core,"golang.org/x/text/unicode/norm",BSD-3-Clause
core,"golang.org/x/time/rate",BSD-3-Clause
core,"google.golang.org/appengine/internal",Apache-2.0
core,"google.golang.org/appengine/internal/base",Apache-2.0
core,"google.golang.org/appengine/internal/datastore",Apache-2.0
core,"google.golang.org/appengine/internal/log",Apache-2.0
core,"google.golang.org/appengine/internal/remote_api",Apache-2.0
core,"google.golang.org/appengine/internal/urlfetch",Apache-2.0
core,"google.golang.org/appengine/urlfetch",Apache-2.0
core,"google.golang.org/protobuf/encoding/prototext",BSD-3-Clause
core,"google.golang.org/protobuf/encoding/protowire",BSD-3-Clause
core,"google.golang.org/protobuf/internal/descfmt",BSD-3-Clause
core,"google.golang.org/protobuf/internal/descopts",BSD-3-Clause
core,"google.golang.org/protobuf/internal/detrand",BSD-3-Clause
core,"google.golang.org/protobuf/internal/encoding/defval",BSD-3-Clause
core,"google.golang.org/protobuf/internal/encoding/messageset",BSD-3-Clause
core,"google.golang.org/protobuf/internal/encoding/tag",BSD-3-Clause
core,"google.golang.org/protobuf/internal/encoding/text",BSD-3-Clause
core,"google.golang.org/protobuf/internal/errors",BSD-3-Clause
core,"google.golang.org/protobuf/internal/fieldnum",BSD-3-Clause
core,"google.golang.org/protobuf/internal/fieldsort",BSD-3-Clause
core,"google.golang.org/protobuf/internal/filedesc",BSD-3-Clause
core,"google.golang.org/protobuf/internal/filetype",BSD-3-Clause
core,"google.golang.org/protobuf/internal/flags",BSD-3-Clause
core,"google.golang.org/protobuf/internal/genname",BSD-3-Clause
core,"google.golang.org/protobuf/internal/impl",BSD-3-Clause
core,"google.golang.org/protobuf/internal/mapsort",BSD-3-Clause
core,"google.golang.org/protobuf/internal/pragma",BSD-3-Clause
core,"google.golang.org/protobuf/internal/set",BSD-3-Clause
core,"google.golang.org/protobuf/internal/strs",BSD-3-Clause
core,"google.golang.org/protobuf/internal/version",BSD-3-Clause
core,"google.golang.org/protobuf/proto",BSD-3-Clause
core,"google.golang.org/protobuf/reflect/protoreflect",BSD-3-Clause
core,"google.golang.org/protobuf/reflect/protoregistry",BSD-3-Clause
core,"google.golang.org/protobuf/runtime/protoiface",BSD-3-Clause
core,"google.golang.org/protobuf/runtime/protoimpl",BSD-3-Clause
core,"google.golang.org/protobuf/types/known/anypb",BSD-3-Clause
core,"google.golang.org/protobuf/types/known/durationpb",BSD-3-Clause
core,"google.golang.org/protobuf/types/known/timestamppb",BSD-3-Clause
core,"gopkg.in/inf.v0",BSD-3-Clause
core,"gopkg.in/ini.v1",Apache-2.0
core,"gopkg.in/square/go-jose.v2",Apache-2.0
core,"gopkg.in/square/go-jose.v2/cipher",Apache-2.0
core,"gopkg.in/square/go-jose.v2/json",BSD-3-Clause
core,"gopkg.in/square/go-jose.v2/jwt",Apache-2.0
core,"gopkg.in/yaml.v2",Apache-2.0
core,"k8s.io/api/admissionregistration/v1beta1",Apache-2.0
core,"k8s.io/api/apps/v1",Apache-2.0
core,"k8s.io/api/apps/v1beta1",Apache-2.0
core,"k8s.io/api/apps/v1beta2",Apache-2.0
core,"k8s.io/api/auditregistration/v1alpha1",Apache-2.0
core,"k8s.io/api/authentication/v1",Apache-2.0
core,"k8s.io/api/authentication/v1beta1",Apache-2.0
core,"k8s.io/api/authorization/v1",Apache-2.0
core,"k8s.io/api/authorization/v1beta1",Apache-2.0
core,"k8s.io/api/autoscaling/v1",Apache-2.0
core,"k8s.io/api/autoscaling/v2beta1",Apache-2.0
core,"k8s.io/api/autoscaling/v2beta2",Apache-2.0
core,"k8s.io/api/batch/v1",Apache-2.0
core,"k8s.io/api/batch/v1beta1",Apache-2.0
core,"k8s.io/api/batch/v2alpha1",Apache-2.0
core,"k8s.io/api/certificates/v1beta1",Apache-2.0
core,"k8s.io/api/coordination/v1",Apache-2.0
core,"k8s.io/api/coordination/v1beta1",Apache-2.0
core,"k8s.io/api/core/v1",Apache-2.0
core,"k8s.io/api/events/v1beta1",Apache-2.0
core,"k8s.io/api/extensions/v1beta1",Apache-2.0
core,"k8s.io/api/networking/v1",Apache-2.0
core,"k8s.io/api/networking/v1beta1",Apache-2.0
core,"k8s.io/api/node/v1alpha1",Apache-2.0
core,"k8s.io/api/node/v1beta1",Apache-2.0
core,"k8s.io/api/policy/v1beta1",Apache-2.0
core,"k8s.io/api/rbac/v1",Apache-2.0
core,"k8s.io/api/rbac/v1alpha1",Apache-2.0
core,"k8s.io/api/rbac/v1beta1",Apache-2.0
core,"k8s.io/api/scheduling/v1",Apache-2.0
core,"k8s.io/api/scheduling/v1alpha1",Apache-2.0
core,"k8s.io/api/scheduling/v1beta1",Apache-2.0
core,"k8s.io/api/settings/v1alpha1",Apache-2.0
core,"k8s.io/api/storage/v1",Apache-2.0
core,"k8s.io/api/storage/v1alpha1",Apache-2.0
core,"k8s.io/api/storage/v1beta1",Apache-2.0
core,"k8s.io/apimachinery/pkg/api/errors",Apache-2.0
core,"k8s.io/apimachinery/pkg/api/meta",Apache-2.0
core,"k8s.io/apimachinery/pkg/api/resource",Apache-2.0
core,"k8s.io/apimachinery/pkg/apis/meta/v1",Apache-2.0
core,"k8s.io/apimachinery/pkg/apis/meta/v1/unstructured",Apache-2.0
core,"k8s.io/apimachinery/pkg/conversion",Apache-2.0
core,"k8s.io/apimachinery/pkg/conversion/queryparams",Apache-2.0
core,"k8s.io/apimachinery/pkg/fields",Apache-2.0
core,"k8s.io/apimachinery/pkg/labels",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime/schema",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime/serializer",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime/serializer/json",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime/serializer/protobuf",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime/serializer/recognizer",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime/serializer/streaming",Apache-2.0
core,"k8s.io/apimachinery/pkg/runtime/serializer/versioning",Apache-2.0
core,"k8s.io/apimachinery/pkg/selection",Apache-2.0
core,"k8s.io/apimachinery/pkg/types",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/clock",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/errors",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/framer",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/intstr",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/json",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/naming",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/net",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/runtime",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/sets",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/validation",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/validation/field",Apache-2.0
core,"k8s.io/apimachinery/pkg/util/yaml",Apache-2.0
core,"k8s.io/apimachinery/pkg/version",Apache-2.0
core,"k8s.io/apimachinery/pkg/watch",Apache-2.0
core,"k8s.io/apimachinery/third_party/forked/golang/reflect",Apache-2.0
core,"k8s.io/client-go/discovery",Apache-2.0
core,"k8s.io/client-go/kubernetes",Apache-2.0
core,"k8s.io/client-go/kubernetes/scheme",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/admissionregistration/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/apps/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/apps/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/apps/v1beta2",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/auditregistration/v1alpha1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/authentication/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/authentication/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/authorization/v1",Apache-2.0
